,Ticker,H_sell_price,L_sell_price,L_buy_price,H_buy_price
0,ADANIENT.NS,3673.7216796875,3636.984462890625,1624.8221435546875,1641.0703649902343
1,ADANIPORTS.NS,821.875732421875,813.6569750976563,543.2078247070312,548.6399029541016
2,AXISBANK.NS,955.9994506835938,946.4394561767579,865.8394775390625,874.4978723144532
3,BAJAJFINSV.NS,1546.946533203125,1531.4770678710938,1308.35009765625,1321.4335986328124
4,BAJFINANCE.NS,6443.99853515625,6379.558549804688,5819.4306640625,5877.624970703125
5,BHARTIARTL.NS,817.8008422851562,809.6228338623047,768.2450561523438,775.9275067138672
6,BPCL.NS,351.5677490234375,348.0520715332031,324.98248291015625,328.2323077392578
7,CIPLA.NS,1078.0186767578125,1067.2384899902345,1031.87548828125,1042.1942431640625
8,GRASIM.NS,1706.9996337890625,1689.9296374511719,1584.13671875,1599.9780859375
9,HDFCLIFE.NS,606.96826171875,600.8985791015625,488.1520690917969,493.03358978271484
10,HEROMOTOCO.NS,2700.528564453125,2673.5232788085937,2473.788330078125,2498.526213378906
11,IEX.NS,140.8697509765625,139.46105346679687,135.82786560058594,137.1861442565918
12,INDUSINDBK.NS,1232.1151123046875,1219.7939611816407,1114.3443603515625,1125.487803955078
13,KOTAKBANK.NS,1833.4993896484375,1815.1643957519532,1748.9390869140625,1766.428477783203
14,LT.NS,2211.0439453125,2188.933505859375,2106.15966796875,2127.2212646484377
15,NESTLEIND.NS,20049.013671875,19848.52353515625,19159.078125,19350.66890625
16,ONGC.NS,151.98902893066406,150.46913864135743,142.14620971679688,143.56767181396484
17,SBILIFE.NS,1312.1107177734375,1298.9896105957032,1139.4569091796875,1150.8514782714844
18,SBIN.NS,613.2404174804688,607.108013305664,534.1724243164062,539.5141485595703
19,SUNPHARMA.NS,1039.7637939453125,1029.3661560058595,1002.9879150390625,1013.0177941894531
20,TATACONSUM.NS,769.0219116210938,761.3316925048828,733.3365478515625,740.6699133300781
21,TATAMOTORS.NS,446.2200012207031,441.7578012084961,416.4423828125,420.606806640625
22,TITAN.NS,2595.126220703125,2569.174958496094,2354.80810546875,2378.3561865234374
23,ULTRACEMCO.NS,7289.61767578125,7216.721499023438,6726.27978515625,6793.542583007813
24,^NSEI,18150.515625,17969.01046875,17591.248046875,17767.16052734375
